id,econmon,type,tag,diagram,prompt_en,prompt_zh,options_en,options_zh,items_en,items_zh,answer,hint_en,hint_zh,explain_en,explain_zh
sewtron-12,sewtron,order,,,Order the chain showing how division of labour improves living standards.,排列 division of labour 點樣提高生活水平嘅因果鏈。,,,workers specialise in one task|workers become more skilled through practice|labour productivity rises|total output increases|living standards improve,工人專責一個工序|工人熟能生巧|labour productivity 上升|總產量增加|生活水平提高,,What is the cause and what is the final effect?,邊個係原因，邊個係最終結果？,"Specialisation → higher skill → higher labour productivity → more output → more goods and services to enjoy, i.e. better living standards.",專門化 → 技術提高 → labour productivity 上升 → 產量增加 → 有更多 goods 同 services 享用，即生活水平提高。
sewtron-S1,sewtron,mc,scen,,"(Fictional) In 1978, Ah Mei has sewn only shirt pockets for eight years in a Cheung Sha Wan factory. She says her work is dull and she feels no pride in the finished shirt. This shows which disadvantage of division of labour?",（虛構）1978 年，阿美喺長沙灣工廠淨係車恤衫袋車咗八年。佢話份工好悶，對成品恤衫一啲自豪感都冇。呢個反映 division of labour 邊個壞處？,higher interdependence|excessive standardisation|boring work and loss of job satisfaction|small market size,interdependence 提高|過份標準化|工作沉悶同失去工作滿足感|市場細,,,C,Which option is about how the worker feels?,邊個選項係講工人嘅感受？,"Repeating one simple task is boring and the worker cannot see the finished product as her own work, so job satisfaction is lost.",重複一個簡單工序好沉悶，工人又唔覺得成品係自己作品，所以失去工作滿足感。
sewtron-S2,sewtron,mc,scen,,"(Fictional) A Cheung Sha Wan factory has a cutting, a sewing and a packing team. One day the cutting machine breaks down and the whole factory stops. This shows:",（虛構）長沙灣一間工廠有剪布、車衫同包裝三隊人。有一日剪布機壞咗，成間廠停晒工。呢個反映：,higher interdependence among stages|the stimulus to mechanisation|practice makes perfect|the limit of creative output,工序之間更加互相依賴|刺激機械化|熟能生巧|創意 output 嘅限制,,,A,Why did the sewing and packing teams stop too?,點解車衫隊同包裝隊都停埋？,"Under division of labour each stage depends on the previous stage; when one stops, all stop.",分工之下每個工序依賴上一個工序；一個停，全部停。
sewtron-S3,sewtron,fill,scen,,"(Fictional) A workshop in a Sham Shui Po tong lau has 5 workers. Without division of labour they make 60 dresses a week in total. With division of labour they make 90 dresses a week. Labour productivity rises from 12 to ____ dresses per worker per week, a rise of ____ dresses.",（虛構）深水埗一個唐樓工場有 5 個工人。冇分工時每星期總共做 60 條裙；分工之後每星期做 90 條。Labour productivity 由每人每星期 12 條升至 ① 條，增加咗 ② 條。,18|6|30|15,18|6|30|15,,,18|6,Labour productivity = total output ÷ number of workers. What is 90 ÷ 5?,Labour productivity = 總產量 ÷ 工人數目。90 ÷ 5 係幾多？,90 ÷ 5 = 18; 18 − 12 = 6. Division of labour raised output per worker.,90 ÷ 5 = 18；18 − 12 = 6。Division of labour 提高咗每個工人嘅產量。
sewtron-S4,sewtron,tf,scen,,(Fictional) Master Wong makes made-to-measure qipao in a small Yau Ma Tei shop for about ten customers a month. Dividing the work among five specialised workers would clearly raise his profit.,（虛構）王師傅喺油麻地一間細舖度身訂造旗袍，每個月大約十個客。將工作分畀五個專責工人做，一定會令佢利潤增加。,,,,,F,How many customers are there? Does each qipao need his own design?,有幾多客？每件旗袍係咪都要佢親自設計？,"Division of labour is limited by a small market size and by output needing creativity, so splitting the work would not clearly pay off.",市場細同 output 需要創意都會限制 division of labour，所以分工唔一定划算。
sewtron-S5,sewtron,sort,scen,,(Fictional) A modern Kwai Chung factory introduces a production line. Sort the results:,（虛構）葵涌一間現代工廠引入生產線。將結果分類：,advantage|disadvantage,advantage|disadvantage,new workers need only one day of training|all T-shirts look exactly the same|a machine is bought to do the simple folding task|a worker who only folded shirts loses her job when the machine arrives|output per worker doubles,新工人只需要一日培訓|所有 T 恤都一模一樣|買咗部機做簡單嘅摺衫工序|只識摺衫嘅工人因為部機嚟咗而失業|每個工人嘅產量增加一倍,1|2|1|2|1,Does each result help productivity or create a problem?,每個結果係幫到 productivity，定係帶嚟問題？,"Saved training time, mechanisation and higher output per worker are advantages; excessive standardisation and greater risk of unemployment are disadvantages.",節省培訓時間、機械化同每人產量上升係好處；過份標準化同失業風險增加係壞處。
factorgeck-01,factorgeck,tf,,,A salaried factory manager who makes daily production plans but bears no business risk is providing entrepreneurship.,一個收月薪、負責每日生產安排但唔使承擔營商風險嘅工廠經理，佢提供嘅係 entrepreneurship。,,,,,F,"Who loses money if the factory makes a loss, the manager or the owner?",如果工廠蝕錢，係經理蝕定係老闆蝕？,"Entrepreneurship requires bearing business risks. A hired manager earns a fixed wage whether the firm gains or loses, so he provides labour.",Entrepreneurship 一定要承擔營商風險。受僱經理無論公司賺蝕都收固定人工，所以佢提供嘅係 labour。
factorgeck-02,factorgeck,tf,,,"Land has no cost of creation, but there is a cost of using it.",Land 唔使成本去創造，但使用佢就有成本。,,,,,T,"Who made the land? And if a plot is used for a factory, what can it no longer be used for?",土地係邊個整出嚟？一幅地用咗起工廠，仲可唔可以用嚟做其他嘢？,"Land is a gift of nature, so no cost is needed to create it; but using it for one purpose means giving up other uses, so there is a cost of use.",Land 係大自然提供，唔使成本創造；但用咗喺一個用途就要放棄其他用途，所以有使用成本。
factorgeck-03,factorgeck,tf,,,"If capital formation in a year is smaller than capital depreciation, the capital stock falls.",如果一年內嘅 capital formation 細過 capital depreciation，capital stock 會下跌。,,,,,T,Compare what is added with what is used up.,比較吓加入咗幾多、用耗咗幾多？,Capital stock changes by formation minus depreciation. Formation < depreciation means the stock falls; only formation > depreciation gives capital accumulation.,Capital stock 嘅變化 = formation 減 depreciation。Formation 細過 depreciation，stock 就會跌；只有 formation 大過 depreciation 先係 capital accumulation。
factorgeck-04,factorgeck,mc,,,A sewing machine used in a Cheung Sha Wan garment factory is classified as:,長沙灣製衣廠用嚟車衫嘅衣車屬於：,land|labour|entrepreneurship|capital,land|labour|entrepreneurship|capital,,,D,Is it made by people and used to produce other goods?,佢係咪人造、而且用嚟生產其他貨品？,Capital is a man-made resource used in production. A sewing machine is man-made and used to make clothes.,Capital 係用喺生產嘅人造資源。衣車係人造，用嚟生產衣服，所以係 capital。
factorgeck-05,factorgeck,mc,,,Which pairing of factor and factor return is correct?,以下邊組生產要素同佢嘅回報配對正確？,land : interest|capital : rent|labour : wages|entrepreneurship : wages,land：interest|capital：rent|labour：wages|entrepreneurship：wages,,,C,What does a worker receive? What does a lender of money receive?,打工仔收咩？借錢畀人嘅又收咩？,"Labour earns wages, capital earns interest, land earns rent and entrepreneurship earns profits.",Labour 收 wages，capital 收 interest，land 收 rent，entrepreneurship 收 profits。
factorgeck-06,factorgeck,mc,,,Which of the following is labour?,以下邊一項係 labour？,a fashion designer drawing new patterns for a salary|the fabric used to make shirts|the factory building|a river used to carry away dyeing water,收人工嘅時裝設計師畫新款式|用嚟做恤衫嘅布料|工廠大廈|用嚟排走染布水嘅河流,,,A,"Does labour include only physical effort, or mental effort too?",Labour 只係指體力，定係都包括腦力？,Labour is human physical and mental effort used in production. A designer provides mental effort and earns wages.,Labour 係用喺生產嘅人類體力同腦力。設計師提供腦力，收 wages，所以係 labour。
factorgeck-07,factorgeck,mc,,,Which statement about the supply of land is correct?,以下邊句關於 land 供應嘅講法正確？,"It is absolutely fixed and can never change|It cannot be increased by human effort in the usual sense, but it is not fixed, e.g. erosion can reduce it|It can be increased easily by working harder|It depends only on the rent paid",佢絕對固定，永遠唔會變|一般嚟講唔可以靠人力增加，但亦唔係固定，例如侵蝕可以令佢減少|只要努力啲做就可以輕易增加|佢只係取決於所付嘅 rent,,,B,Can the coastline change? Think of the sea washing away the shore.,海岸線會唔會變？諗吓海水沖走岸邊嘅情況？,"Land is a gift of nature; its supply cannot be increased by human effort in the usual sense, yet it is not fixed, since reclamation or erosion can change it.",Land 係大自然提供；一般嚟講供應唔可以靠人力增加，但亦唔係固定，因為 reclamation 或侵蝕都可以改變佢。
factorgeck-08,factorgeck,fill,,,"The owner of a workshop who bears the business risks and makes production decisions provides ____, and the return is ____.",承擔營商風險同作出生產決定嘅工場老闆提供 ①，佢嘅回報係 ②。,entrepreneurship|labour|profits|interest,entrepreneurship|labour|profits|interest,,,entrepreneurship|profits,"Who gets what is left after paying wages, rent and interest?",付完 wages、rent 同 interest 之後剩低嘅，係邊個攞？,"Bearing business risks and making production decisions is entrepreneurship; its return is profits, which can be negative (losses).",承擔營商風險同作生產決定係 entrepreneurship；回報係 profits，可以係負數（即係蝕錢）。
factorgeck-09,factorgeck,fill,,,"The purchase or production of capital goods is called capital ____, while the consumption or disposal of capital is called capital ____.",購買或者生產資本財貨叫做 capital ①，而資本嘅耗損或棄置叫做 capital ②。,formation|depreciation|accumulation|interest,formation|depreciation|accumulation|interest,,,formation|depreciation,"Which word means adding new capital, and which means capital being used up?",邊個字係指加入新資本，邊個字係指資本被用耗？,Capital formation adds to capital; capital depreciation is capital consumed or disposed of. Accumulation is the net result when formation exceeds depreciation.,Capital formation 係增加資本；capital depreciation 係資本被耗損或棄置。Accumulation 係 formation 大過 depreciation 時嘅淨結果。
factorgeck-10,factorgeck,sort,,,Classify each resource of a 1970s Sham Shui Po garment workshop:,將 1970 年代深水埗製衣工場嘅資源分類：,land|labour|capital,land|labour|capital,the ironing machines|the machinists' sewing work|the site the building stands on|the cutter's skill in cutting cloth|the goods lift in the tong lau,熨衫機|車衣女工嘅車衣工作|大廈所在嘅地皮|剪裁師傅嘅剪布手藝|唐樓嘅貨用升降機,3|2|1|2|3,"Is it a gift of nature, human effort, or man-made?",佢係大自然提供、人嘅努力，定係人造嘅？,"Land is natural resources, labour is human physical and mental effort, capital is man-made resources used in production.",Land 係天然資源，labour 係人嘅體力同腦力，capital 係用喺生產嘅人造資源。
factorgeck-11,factorgeck,sort,,,Which factor earns each return?,以下每種回報屬於邊種生產要素？,labour|capital|land,labour|capital|land,wages paid to a cutter|interest paid on a loan used to buy machines|rent paid for a piece of farmland in Yuen Long|salary of a factory accountant,付畀剪裁師傅嘅 wages|買機器貸款所付嘅 interest|元朗一幅農地嘅 rent|工廠會計嘅月薪,1|2|3|1,What is the matching return of each factor?,每種生產要素嘅對應回報係咩？,"Wages and salaries go to labour, interest to capital, rent to land.",Wages 同月薪屬於 labour，interest 屬於 capital，rent 屬於 land。
factorgeck-12,factorgeck,order,,,Put the steps for finding a factory's capital stock at the end of a year in order:,排出計算工廠年底 capital stock 嘅步驟：,,,start with the capital stock at the beginning of the year|add the capital formation during the year|subtract the capital depreciation during the year|get the capital stock at the end of the year,由年初嘅 capital stock 開始|加上年內嘅 capital formation|減去年內嘅 capital depreciation|得出年底嘅 capital stock,,What is added and what is taken away?,邊樣係加、邊樣係減？,"End-of-year capital stock = opening stock + formation - depreciation. If formation > depreciation, there is capital accumulation.",年底 capital stock = 年初 stock + formation - depreciation。Formation 大過 depreciation 就係 capital accumulation。
factorgeck-S1,factorgeck,fill,scen,,"(Fictional) At the start of the year, a Cheung Sha Wan factory has 50 sewing machines. It buys 12 new ones and scraps 5 old ones. It now has ____ machines, and this is capital ____.",（虛構）長沙灣一間工廠年初有 50 部衣車，年內買咗 12 部新嘅，棄置咗 5 部舊嘅。佢而家有 ① 部衣車，呢個係 capital ②。,57|67|accumulation|depreciation,57|67|accumulation|depreciation,,,57|accumulation,Opening stock plus formation minus depreciation equals?,年初 stock 加 formation 減 depreciation 等於幾多？,"50 + 12 - 5 = 57. Formation (12) > depreciation (5), so the capital stock rises: capital accumulation.",50 + 12 - 5 = 57。Formation（12）大過 depreciation（5），capital stock 上升，即係 capital accumulation。
factorgeck-S2,factorgeck,mc,scen,,"(Fictional) Mr Ho quits his job, borrows money and opens a small garment workshop in Sham Shui Po. He decides what to produce and loses his savings if it fails. His return is:",（虛構）何生辭咗職，借錢喺深水埗開咗間細製衣工場。佢決定生產咩，如果失敗就會輸晒積蓄。佢嘅回報係：,wages|rent|profits|interest,wages|rent|profits|interest,,,C,He makes decisions and bears risks. Which factor is that?,佢做決定同承擔風險，係邊種生產要素？,"Bearing business risks and making production decisions is entrepreneurship, whose return is profits.",承擔營商風險同作生產決定係 entrepreneurship，回報係 profits。
factorgeck-S3,factorgeck,sort,scen,,(Fictional) A family runs a fish farm in Lau Fau Shan. Classify each item:,（虛構）一家人喺流浮山經營魚塘。將以下各項分類：,land|labour|capital,land|labour|capital,the natural seawater in the bay|the fish ponds dug and built by the family|the feeding pumps|the daughter feeding the fish for a wage|wild fish fry swimming in from the sea,海灣嘅天然海水|一家人挖掘同建造嘅魚塘|餵飼泵|收人工餵魚嘅女兒|由海游入嚟嘅野生魚苗,1|3|3|2|1,"Has human effort processed it, or is it still in its natural state?",佢有冇經過人力加工，定係仍然係天然狀態？,"Natural resources in their natural state are land. Natural resources processed by human effort, like dug ponds, become capital. Human effort is labour.",天然狀態嘅天然資源係 land；經人力加工嘅天然資源，例如挖好嘅魚塘，就係 capital；人嘅努力係 labour。
factorgeck-S4,factorgeck,mc,scen,,(Fictional) A Kwun Tong printing firm's capital formation this year is $2 million and its capital depreciation is $3 million. Which is correct?,（虛構）觀塘一間印刷公司今年 capital formation 係 $200 萬，capital depreciation 係 $300 萬。以下邊句正確？,There is capital accumulation of $1 million|The capital stock rises by $5 million|The capital stock is unchanged because the firm bought new machines|The capital stock falls by $1 million,有 $100 萬 capital accumulation|capital stock 上升 $500 萬|因為公司有買新機器，所以 capital stock 不變|capital stock 下跌 $100 萬,,,D,"Which is bigger, formation or depreciation?",Formation 同 depreciation 邊個大？,Change in capital stock = 2 - 3 = -1 million. Buying new machines is not enough; formation must exceed depreciation for accumulation.,Capital stock 變化 = 2 - 3 = -100 萬。有買新機器唔代表有 accumulation；要 formation 大過 depreciation 先得。
factorgeck-S5,factorgeck,tf,scen,,"(Fictional) Ms Lee inherits a plot of land in Sheung Shui and lets it for free to her cousin's farm. Since she receives no rent, using this land has no cost.",（虛構）李小姐繼承咗上水一幅地，免費借畀表哥耕田。因為佢冇收 rent，所以用呢幅地冇成本。,,,,,F,What else could the land have been used for?,呢幅地本來仲可以用嚟做咩？,"Land has no cost of creation but has a cost of use: using it for the farm means giving up other uses, such as letting it for rent.",Land 冇創造成本，但有使用成本：用嚟耕田就要放棄其他用途，例如出租收 rent。
hourat-01,hourat,tf,,,Labour supply is measured by the number of workers in an economy.,Labour supply 係用經濟體入面工人嘅人數嚟量度。,,,,,F,"If each worker works longer hours, does labour supply change even when headcount stays the same?",如果每個工人做多啲鐘，人數唔變，labour supply 會唔會變？,"Labour supply is the total number of working hours (man-hours), not the number of workers.",Labour supply 係總工作時數（man-hours），唔係工人數目。
hourat-02,hourat,tf,,,Raising the retirement age tends to increase labour supply.,提高退休年齡通常會增加 labour supply。,,,,,T,"If people retire later, what happens to the number of workers?",如果人遲啲退休，工人數目會點變？,"A later retirement age keeps more people in the working population, so total working hours rise.",延遲退休令更多人留喺 working population，總工作時數上升。
hourat-03,hourat,tf,,,More generous unemployment benefits tend to increase labour supply.,更慷慨嘅失業援助通常會增加 labour supply。,,,,,F,"If you get more money without working, are you more or less willing to work long hours?",如果唔做嘢都攞到多啲錢，你會更願意定更唔願意做長工時？,"Generous unemployment benefits reduce the incentive to work, lowering working hours and so labour supply.",慷慨嘅失業援助減低工作誘因，工作時數下降，labour supply 下降。
hourat-04,hourat,mc,,,Labour supply equals:,Labour supply 等於：,number of workers × average working hours per worker|total output ÷ number of workers|total population × average wage|number of firms × number of workers,工人數目 × 每個工人平均工作時數|總產量 ÷ 工人數目|總人口 × 平均工資|公司數目 × 工人數目,,,A,Labour supply is measured in hours. What two numbers give total hours?,Labour supply 用鐘數量度。邊兩個數相乘會得出總時數？,Total man-hours = number of workers × average working hours per worker.,總 man-hours = 工人數目 × 每個工人平均工作時數。
hourat-05,hourat,mc,,,Which change will REDUCE labour supply?,以下邊個轉變會令 labour supply 減少？,a higher immigration quota|more years of compulsory schooling|a later retirement age|fewer public holidays,提高移民配額|延長強制教育年期|延遲退休年齡|減少公眾假期,,,B,Which change keeps young people out of the workforce for longer?,邊個轉變會令年輕人遲啲先加入勞動人口？,"Longer schooling delays entry into the working population, so fewer workers and fewer man-hours.",延長讀書年期令人遲啲加入 working population，工人數目同 man-hours 減少。
hourat-06,hourat,mc,,,A law setting a maximum number of working hours per week affects labour supply mainly through:,法例規定每週最高工時，主要透過以下邊方面影響 labour supply？,the size of the population|the minimum working age|the average working hours per worker|the immigration quota,人口規模|最低工作年齡|每個工人平均工作時數|移民配額,,,C,"Does the law change how many people work, or how long each works?",條法例改變嘅係幾多人做嘢，定係每人做幾耐？,"Maximum working hours limit the hours each worker can work, so the average working hours fall.",最高工時限制每個工人嘅工作時數，所以平均工作時數下降。
hourat-07,hourat,mc,,,Which of the following affects labour supply through the NUMBER OF WORKERS rather than average hours?,以下邊項係透過「工人數目」而唔係「平均工時」影響 labour supply？,longer annual leave|paternity leave|more sick leave|a lower minimum working age,增加年假|侍產假|增加病假|降低最低工作年齡,,,D,Which one lets more people join the workforce?,邊項會令更多人可以加入勞動人口？,A lower minimum working age allows more people to work; the leave items reduce the average hours of existing workers.,降低最低工作年齡令更多人可以工作；各種假期只係減少現有工人嘅平均工時。
hourat-08,hourat,fill,,,"Labour supply is measured in ____, and equals the number of workers multiplied by the ____ working hours per worker.",Labour supply 用 ① 量度，等於工人數目乘每個工人嘅 ② 工作時數。,man-hours|average|headcount|maximum,man-hours|average|headcount|maximum,,,man-hours|average,Is it counted in people or in hours?,係數人頭，定係計鐘數？,Labour supply = total working hours (man-hours) = number of workers × average working hours.,Labour supply = 總工作時數（man-hours）= 工人數目 × 平均工作時數。
hourat-09,hourat,fill,,,"A factory has 20 workers, each working 9 hours a day. Its daily labour supply is ____ man-hours. If 5 more workers join at the same hours, it becomes ____ man-hours.",一間工廠有 20 個工人，每人每日做 9 個鐘。每日 labour supply 係 ① man-hours。如果多 5 個工人加入，工時一樣，就變成 ② man-hours。,180|225|29|45,180|225|29|45,,,180|225,Multiply workers by hours each time.,每次都用工人數乘工時？,20 × 9 = 180; 25 × 9 = 225 man-hours.,20 × 9 = 180；25 × 9 = 225 man-hours。
hourat-10,hourat,sort,,,Does each change increase or decrease labour supply?,以下每個轉變會增加定減少 labour supply？,increase|decrease,增加|減少,more public holidays|a larger immigration quota|a longer maternity leave|a higher retirement age|more generous unemployment benefits|a growing working population,增加公眾假期|擴大移民配額|延長產假|提高退休年齡|更慷慨嘅失業援助|working population 增加,2|1|2|1|2|1,Does the change add or remove working hours?,呢個轉變會增加定減少工作時數？,"Anything that raises the number of workers or average hours raises labour supply; holidays, leave and generous benefits reduce hours.",任何增加工人數目或平均工時嘅因素都會增加 labour supply；假期、休假同慷慨援助會減少工時。
hourat-11,hourat,sort,,,Which part of labour supply does each factor mainly affect?,以下每個因素主要影響 labour supply 嘅邊部分？,number of workers|average working hours,工人數目|平均工作時數,minimum working age|annual leave|immigration quota|maximum working hours law|retirement age,最低工作年齡|年假|移民配額|最高工時法例|退休年齡,1|2|1|2|1,"Does it change who can work, or how long they work?",佢改變嘅係邊個可以做嘢，定係做幾耐？,Age limits and immigration change the number of workers; leave and working-hour laws change average hours.,年齡限制同移民影響工人數目；假期同工時法例影響平均工時。
hourat-12,hourat,mc,,,Firm A has 10 workers each working 10 hours. Firm B has 12 workers each working 8 hours. Which statement is correct?,A 公司有 10 個工人，每人做 10 個鐘；B 公司有 12 個工人，每人做 8 個鐘。以下邊句正確？,B has more labour supply because it has more workers|A has more labour supply: 100 vs 96 man-hours|They have the same labour supply|Labour supply cannot be compared,B 工人多，所以 labour supply 較多|A 嘅 labour supply 較多：100 對 96 man-hours|兩間 labour supply 一樣|labour supply 無法比較,,,B,"Count hours, not people.",計鐘數，唔好數人頭？,"A: 10 × 10 = 100; B: 12 × 8 = 96. Labour supply is total man-hours, so A has more despite fewer workers.",A：10 × 10 = 100；B：12 × 8 = 96。Labour supply 係總 man-hours，所以 A 雖然人少但 labour supply 較多。
hourat-S1,hourat,fill,scen,,"(Fictional) A Cheung Sha Wan garment factory has 40 machinists, each working 10 hours a day. The daily labour supply is ____ man-hours. After a new rule cuts the day to 8 hours, it becomes ____ man-hours.",（虛構）長沙灣一間製衣廠有 40 個車衣女工，每人每日做 10 個鐘。每日 labour supply 係 ① man-hours。新規定將工時減到 8 個鐘之後，變成 ② man-hours。,400|320|50|48,400|320|50|48,,,400|320,"Workers × hours, before and after?",前後都用工人數乘工時？,"40 × 10 = 400; 40 × 8 = 320. Headcount is unchanged, but labour supply falls because average hours fall.",40 × 10 = 400；40 × 8 = 320。人數冇變，但平均工時減少，labour supply 下降。
hourat-S2,hourat,mc,scen,,(Fictional) A Sham Shui Po workshop has 15 workers working 8 hours each. The boss hires 5 more workers but cuts everyone's hours to 6. Labour supply:,（虛構）深水埗一間工場有 15 個工人，每人做 8 個鐘。老闆多請 5 個人，但將每人工時減到 6 個鐘。Labour supply：,rises from 120 to 150 man-hours|stays at 120 man-hours|falls from 120 to 90 man-hours|rises because there are more workers,由 120 升到 150 man-hours|維持 120 man-hours|由 120 跌到 90 man-hours|因為多咗工人所以上升,,,B,Work out man-hours before and after.,計吓前後嘅 man-hours？,Before: 15 × 8 = 120. After: 20 × 6 = 120. More workers does not mean more labour supply.,之前：15 × 8 = 120；之後：20 × 6 = 120。多咗工人唔等於 labour supply 增加。
hourat-S3,hourat,sort,scen,,(Fictional) A small economy makes these policy changes. Sort each by its effect on labour supply:,（虛構）一個細小經濟體推出以下政策。按對 labour supply 嘅影響分類：,increase|decrease,增加|減少,adding two new public holidays|raising the retirement age from 60 to 65|admitting more workers from outside|extending paternity leave|lengthening free education by 3 years,新增兩日公眾假期|退休年齡由 60 歲提高到 65 歲|引入更多外地勞工|延長侍產假|免費教育延長 3 年,2|1|1|2|2,Does each policy add or remove man-hours?,每項政策會增加定減少 man-hours？,Later retirement and more immigrant workers raise the number of workers; holidays and leave cut average hours; longer schooling delays entry to work.,延遲退休同引入外勞增加工人數目；假期同休假減少平均工時；延長教育令人遲啲投入工作。
hourat-S4,hourat,tf,scen,,"(Fictional) Tai O had 300 workers in one year and 250 workers the next year, so its labour supply must have fallen.",（虛構）大澳某年有 300 個工人，第二年得返 250 個，所以 labour supply 一定下跌咗。,,,,,F,What if each remaining worker worked many more hours?,如果留低嘅工人每人做多好多鐘呢？,"Labour supply depends on both headcount and average hours; if average hours rose enough, total man-hours could stay the same or rise.",Labour supply 取決於人數同平均工時；如果平均工時升得夠多，總 man-hours 可以不變甚至上升。
hourat-S5,hourat,mc,scen,,(Fictional) An outworker in a Sham Shui Po tong lau sews at home 5 hours a day. Her daughter starts helping for 3 hours a day after school. The household's daily labour supply to the outwork is now:,（虛構）深水埗唐樓一個外發工每日喺屋企車 5 個鐘。佢個女放學後開始每日幫手 3 個鐘。呢個家庭每日為外發工提供嘅 labour supply 而家係：,2 persons|5 man-hours|15 man-hours|8 man-hours,2 個人|5 man-hours|15 man-hours|8 man-hours,,,D,Add the hours each person works.,將每個人嘅鐘數加埋？,"Labour supply is total working hours: 5 + 3 = 8 man-hours, not a count of persons.",Labour supply 係總工作時數：5 + 3 = 8 man-hours，唔係計人數。
webrate-01,webrate,tf,,,Labour productivity is measured as total output divided by the number of workers.,Labour productivity 係用總產量除以工人數目計算。,,,,,F,Is labour measured in heads or in hours?,Labour 係用人頭定係用鐘數量度？,"Labour productivity = total output ÷ total number of working hours, i.e. output per man-hour, not output per worker.",Labour productivity = 總產量 ÷ 總工作時數，即係每個 man-hour 嘅產量，唔係每個工人嘅產量。
webrate-02,webrate,tf,,,Using more advanced machines can raise labour productivity even if workers do not work harder.,就算工人冇做得更落力，用更先進嘅機器都可以提高 labour productivity。,,,,,T,"With a faster machine, can one hour of work produce more?",有部快啲嘅機器，一個鐘嘅工作可唔可以生產多啲？,"Advanced capital and technology raise output per working hour, so labour productivity rises.",先進嘅 capital 同技術提高每個工作小時嘅產量，所以 labour productivity 上升。
webrate-03,webrate,tf,,,"If total output stays the same but total working hours rise, labour productivity rises.",如果總產量不變，但總工作時數增加，labour productivity 會上升。,,,,,F,What happens to a fraction when the bottom gets bigger?,分母變大，個分數會點？,Productivity = output ÷ hours. Same output with more hours means lower output per man-hour.,Productivity = 產量 ÷ 工時。產量不變而工時增加，每個 man-hour 嘅產量下降。
webrate-04,webrate,mc,,,A workshop produces 600 shirts using 200 man-hours. Its labour productivity is:,一間工場用 200 man-hours 生產 600 件恤衫。佢嘅 labour productivity 係：,"3 shirts per man-hour|120,000 shirts|0.33 shirts per man-hour|800 shirts","每個 man-hour 3 件|120,000 件|每個 man-hour 0.33 件|800 件",,,A,Which do you divide by which?,邊個除邊個？,Labour productivity = output ÷ man-hours = 600 ÷ 200 = 3 shirts per man-hour.,Labour productivity = 產量 ÷ man-hours = 600 ÷ 200 = 每個 man-hour 3 件。
webrate-05,webrate,mc,,,Which of the following is most likely to raise labour productivity?,以下邊項最有可能提高 labour productivity？,hiring more workers with the same skills and machines|lengthening working hours to 14 hours a day|providing job training for workers|cutting the lighting in the workshop to save money,請多啲同樣技術、用同樣機器嘅工人|將工時延長到每日 14 個鐘|為工人提供在職培訓|減少工場照明以節省開支,,,C,"Which option makes each hour of work produce more, rather than simply adding hours?",邊個選項係令每個鐘生產多啲，而唔係淨係加多啲鐘？,"Better education and training raise output per man-hour. Hiring more or working longer raises labour supply, not productivity; a poor environment lowers productivity.",更好嘅教育同培訓提高每個 man-hour 嘅產量。多請人或加長工時增加嘅係 labour supply，唔係 productivity；工作環境差會降低 productivity。
webrate-06,webrate,mc,,,How does division of labour raise labour productivity?,Division of labour 點樣提高 labour productivity？,It makes workers work longer hours|It increases the number of workers|It lowers wages|Workers repeat a simple task and become more skilful at it,佢令工人做更長工時|佢增加工人數目|佢降低工資|工人重複做簡單工序，變得更熟練,,,D,What happens when you do the same small task again and again?,重複做同一個細工序，會有咩效果？,"Division of labour lets each worker specialise and become more skilful, raising output per man-hour.",Division of labour 令每個工人專門做一樣嘢、更熟練，提高每個 man-hour 嘅產量。
webrate-07,webrate,mc,,,"Firm X: 1,000 units from 250 man-hours. Firm Y: 1,200 units from 400 man-hours. Which is correct?","X 公司：用 250 man-hours 生產 1,000 件。Y 公司：用 400 man-hours 生產 1,200 件。以下邊句正確？",Y has higher productivity because it produces more|X has higher productivity: 4 vs 3 units per man-hour|They have equal productivity|Productivity cannot be compared without the number of workers,Y 產量較多，所以 productivity 較高|X 嘅 productivity 較高：每個 man-hour 4 件對 3 件|兩者 productivity 相同|唔知工人數目就無法比較 productivity,,,B,"Compare output per man-hour, not total output.",比較每個 man-hour 嘅產量，唔係總產量？,"X: 1,000 ÷ 250 = 4; Y: 1,200 ÷ 400 = 3. Higher total output does not mean higher productivity.","X：1,000 ÷ 250 = 4；Y：1,200 ÷ 400 = 3。總產量高唔代表 productivity 高。"
webrate-08,webrate,fill,,,Labour productivity = total ____ ÷ total number of working ____.,Labour productivity = 總 ① ÷ 總工作 ②。,output|hours|workers|wages,output|hours|workers|wages,,,output|hours,"What is on top, and is the bottom measured in people or time?",分子係咩？分母用人定用時間量度？,Productivity is output per man-hour: total output ÷ total working hours.,Productivity 係每個 man-hour 嘅產量：總產量 ÷ 總工作時數。
webrate-09,webrate,fill,,,"A team of 5 workers each works 8 hours and makes 200 bags. Total working hours are ____, so labour productivity is ____ bags per man-hour.",一隊 5 個工人每人做 8 個鐘，整咗 200 個袋。總工作時數係 ①，所以 labour productivity 係每個 man-hour ② 個袋。,40|5|25|13,40|5|25|13,,,40|5,"First find the man-hours, then divide output by them.",先計 man-hours，再用產量除佢？,5 × 8 = 40 man-hours; 200 ÷ 40 = 5 bags per man-hour. Dividing output by the number of workers is the common mistake.,5 × 8 = 40 man-hours；200 ÷ 40 = 每個 man-hour 5 個袋。用工人數去除係常見錯誤。
